URL,Pageviews,Unique_Pageviews,Avg_Time_on_Page,Entrances,Bounce_Rate,%_Exit,OBJECTID
/opendata.dc.gov/datasets?q=housing,445,315,0:00:34,15,0.00%,4.27%,183
/opendata.dc.gov/datasets?q=street,444,302,0:00:31,11,33.33%,3.60%,184
/opendata.dc.gov/datasets/ab5661e1a4d74a338ee51cd9533ac787_50,444,248,0:00:36,73,23.68%,13.51%,185
/opendata.dc.gov/datasets?q=ward,442,361,0:00:15,16,0.00%,2.04%,186
/opendata.dc.gov/datasets?page=3&q=health,440,318,0:00:35,4,50.00%,4.77%,187
/opendata.dc.gov/datasets?q=311,440,311,0:00:55,42,38.46%,9.09%,188
/opendata.dc.gov/datasets?page=2&q=environment,438,298,0:00:25,2,0.00%,2.51%,189
/opendata.dc.gov/datasets/street-lights,433,316,0:02:16,83,12.90%,25.40%,190
/opendata.dc.gov/datasets?page=3&q=education,431,293,0:00:28,2,50.00%,3.25%,191
/opendata.dc.gov/datasets/f07d97c6fc9543d5987fa026636661d7_33,427,244,0:00:52,21,10.53%,7.26%,192
/opendata.dc.gov/datasets/waterbodies,427,382,0:03:01,6,14.29%,23.65%,193
/opendata.dc.gov/datasets/3060b61b0f9c444dbbd873bfae5ffa16_21,425,230,0:00:33,114,11.76%,11.06%,194
/opendata.dc.gov/datasets?keyword=mar2016,424,191,0:00:03,5,0.00%,1.18%,195
/opendata.dc.gov/datasets?q=crash,424,292,0:00:32,27,6.25%,4.48%,196
/opendata.dc.gov/datasets/b1bc741677c04a59a862250d1290a8ad_57,423,209,0:00:53,48,7.14%,9.69%,197
/opendata.dc.gov/datasets?q=homeless,420,269,0:00:45,62,26.67%,12.86%,198
/opendata.dc.gov/datasets?q=census,419,294,0:00:20,12,0.00%,1.67%,199
/opendata.dc.gov/datasets/54018b7f06b943f2af278bbe415df1de_52,419,234,0:00:46,21,22.73%,8.59%,200
/opendata.dc.gov/datasets?page=4&q=transportation,418,317,0:00:17,0,0.00%,2.87%,201
/opendata.dc.gov/datasets?q=address,417,311,0:00:43,5,20.00%,8.15%,202
/opendata.dc.gov/datasets/294e062cdf2c48d5b9cbc374d9709bc0_2,417,219,0:00:26,79,3.66%,7.67%,203
/opendata.dc.gov/datasets/primary-care-centers,417,295,0:01:13,12,5.26%,13.91%,204
